Team,Wins,Losses,Draws,Points,Scores,Conceded,MatchesPlayed
"Liverpool",10,0,1,31,25,9,11
"Man City",8,2,1,25,34,10,11
"Leicester City",7,2,2,23,27,8,11
"Chelsea",7,2,2,23,25,17,11
"Arsenal",4,2,5,17,16,15,11
"Sheffield Utd",4,3,4,16,12,8,11
"Bournemouth",4,3,4,16,14,13,11
"Brighton & Hove Albion",4,4,3,15,14,14,11
"Crystal Palace",4,4,3,15,10,14,11
"Man United",3,4,4,13,13,11,11
"Tottenham",3,4,4,13,17,16,11
"Wolverhampton",2,2,7,13,14,14,11
"West Ham",3,4,4,13,14,17,11
"Burnley",3,5,3,12,14,18,11
"Newcastle",3,5,3,12,9,17,11
"Aston Villa",3,6,2,11,16,18,11
"Everton",3,6,2,11,11,17,11
"Southampton",2,7,2,8,10,27,11
"Norwich",2,8,1,7,11,26,11
"Watford",0,6,5,5,6,23,11
